tweet_id,tweet_date,tweet_content,entry_time,exit_time,position_entry_date,position_exit_date,ticker,weight,position_size_pct,influence_score,gross_return,net_return,transaction_cost,pnl,capital
tweet_470,2024-11-26,"RT @realDonaldTrumpI am hearing that America First Patriot Randy Fine is considering launching his Campaign for Congress in Florida''s 6th Congressional District!??A Harvard Educated, Successful Businessman, and Highly Respected State Legislator, Randy has been an incredible Voice for MAGA, and the Great People of Florida. In Congress, Randy will be an INCREDIBLE Fighter who will work tirelessly with me to Stop Inflation, Grow our Economy, Secure the Border, Champion our Military/Vets, Restore American Energy DOMINANCE, Protect our always under siege Second Amendment, and Restore PE",2024-11-26 14:26:04,2024-12-06 12:59:09,2024-11-26,2024-12-06,AMD,0.0326640388435452,3.2664,0.0009096552351189,0.0244294909303686,0.0243772284682189,0.1707103093716248,79.62587375838814,100079.62587375838
tweet_1665,2025-01-02,"With the Biden ???Open Border???s Policy??? I said, many times during Rallies, and elsewhere, that Radical Islamic Terrorism, and other forms of violent crime, will become so bad in America that it will become hard to even imagine or believe. That time has come, only worse than ever imagined. Joe Biden is the WORST PRESIDENT IN THE HISTORY OF AMERICA, A COMPLETE AND TOTAL DISASTER. What he and his group of Election Interfering ???thugs??? have done to our Country will not soon be forgotten! MAGA:: https://truthsocial.com/@realDonaldTrump/113759153879157409",2025-01-02 14:08:58,2025-01-06 13:29:21,2025-01-02,2025-01-06,AMD,0.064560011532632,6.456,-0.0017979207271731,0.0833264102351084,0.0832231142166562,0.6674102226562593,537.7163420406252,100617.342215799
tweet_1765,2025-01-06,"The story in the Washington Post, quoting so-called anonymous sources, which don''t exist, incorrectly states that my tariff policy will be pared back. That is wrong. The Washington Post knows it''s wrong. It''s just another example of Fake News.:: https://truthsocial.com/@realDonaldTrump/113781828670659948",2025-01-06 14:15:31,2025-01-17 14:28:35,2025-01-06,2025-01-17,AMD,0.0644766980588115,6.4477,-0.0017956005444799,-0.0627702285361334,-0.0628733912530275,0.6692654429522072,-407.889490638939,100209.45272516008
tweet_3067,2025-02-11,"Billions of Dollars of FRAUD, WASTE, AND ABUSE, has already been found in the investigation of our incompetently run Government. Now certain activists and highly political judges want us to slow down, or stop. Losing this momentum will be very detrimental to finding the TRUTH, which is turning out to be a disaster for those involved in running our Government. Much left to find. No Excuses!!!:: https://truthsocial.com/@realDonaldTrump/113985325416343873",2025-02-11 12:47:24,2025-02-19 14:26:56,2025-02-11,2025-02-19,AMD,0.0718163048647172,7.1816,-0.0023371540640352,0.0363374707681236,0.0362225646803401,0.8269414943565894,260.68193899885875,100470.13466415892
tweet_3346,2025-02-20,"Great Job on Fox yesterday by Senate Majority Leader John Thune in explaining how far Republican Senators have come, in working with Speaker Johnson and the Republican House, on TAX CUTS, THE BORDER, and some of the most important legislation that our Country has ever considered. Tremendous progress has been made and Republicans are UNITED like never before. MAKE AMERICA GREAT AGAIN!:: https://truthsocial.com/@realDonaldTrump/114036341536036183",2025-02-20 13:01:26,2025-02-20 13:21:46,2025-02-20,2025-02-20,AMD,0.0673918561982007,6.7392,0.0018767842852719,0.000352422907489,0.0002445959375719,0.730082273688789,1.656127018822903,100471.79079117776
tweet_3365,2025-02-21,"I won the Presidential Election in a landslide, won ALL SEVEN SWING STATES, THE POPULAR VOTE, AND ALL FIFTY STATES SHIFTED REPUBLICAN, a record, and now I have the best polling numbers I???ve ever had. The Democrats, run by broken down losers like James Carville, whose weak of mind and body, are going crazy, and just don???t know what to do. They have lost their confidence and spirit - They have lost their minds! We are going to have big WINS for our Country, and MAKE AMERICA GREAT AGAIN. It???s already happening, and will get bigger and better than ever before!:: https://truthsocial.com/@realDonaldTrump/114042361686358877",2025-02-21 14:32:23,2025-02-26 12:10:34,2025-02-21,2025-02-26,AMD,0.078997935351189,7.8998,-0.0030112587492112,-0.0475545930337483,-0.0476809897303102,1.0032186742396754,-378.4470686720192,100093.34372250574
tweet_3552,2025-02-27,"Drugs are still pouring into our Country from Mexico and Canada at very high and unacceptable levels. A large percentage of these Drugs, much of them in the form of Fentanyl, are made in, and supplied by, China. More than 100,000 people died last year due to the distribution of these dangerous and highly addictive POISONS. Millions of people have died over the last two decades. The families of the victims are devastated and, in many instances, virtually destroyed. We cannot allow this scourge to continue to harm the USA, and therefore, until it stops, or is seriously limited, the proposed TARIFFS scheduled to go into effect on MARCH FOURTH will, indeed, go into effect, as scheduled. China will likewise be c",2025-02-27 13:46:11,2025-03-04 12:30:31,2025-02-27,2025-03-04,AMD,0.078997935351189,7.8998,-0.0025783830518743,-0.0294662893940871,-0.029592686090649,0.999439850716072,-233.99432558936397,99859.34939691638
tweet_4063,2025-03-13,"The Globalist Wall Street Journal has no idea what they are doing or saying. They are owned by the polluted thinking of the European Union, which was formed for the primary purpose of ???screwing??? the United States of America. Their (WSJ!) thinking is antiquated and weak, and very bad for the USA. But have no fear, we will WIN on everything!!! Egg prices are down, oil is down, interest rates are down, and TARIFF RELATED MONEY IS POURING INTO THE UNITED STATES. ???The only thing you have to fear, is fear itself!???:: https://truthsocial.com/@realDonaldTrump/114155230513269064",2025-03-13 12:56:32,2025-03-14 13:30:08,2025-03-13,2025-03-14,AMD,0.078997935351189,7.8998,-0.0039333940345474,0.0223105134474327,0.0221841167508708,0.9971033991086226,175.0034519903979,100034.35284890678
tweet_4071,2025-03-14,"Congratulations to Chuck Schumer for doing the right thing ??? Took ???guts??? and courage! The big Tax Cuts, L.A. fire fix, Debt Ceiling Bill, and so much more, is coming. We should all work together on that very dangerous situation. A non pass would be a Country destroyer, approval will lead us to new heights. Again, really good and smart move by Senator Schumer. This could lead to something big for the USA, a whole new direction and beginning! DJT:: https://truthsocial.com/@realDonaldTrump/114161025000723427",2025-03-14 13:30:08,2025-03-17 14:19:08,2025-03-14,2025-03-17,AMD,0.0708094741936028,7.0809,0.0017926917679257,0.0513702042850025,0.0512569091262927,0.802512652977615,363.0721612010736,100397.42501010784
tweet_4453,2025-03-25,"U.S. DEPARTMENT OF VETERANS AFFAIRS: ???Today we celebrate National Medal of Honor Day to recognize the bravery and sacrifice of Medal of Honor recipients. There have been 3,528 recipients of our nation''s highest recognition of valor since its establishment by President Abraham Lincoln in 1861.??? https://news.va.gov/:: https://truthsocial.com/@realDonaldTrump/114223545860504889",2025-03-25 14:30:02,2025-03-27 13:57:38,2025-03-25,2025-03-27,AMD,0.029678082688615,2.9678,0.0007513635022657,-0.058349566141314,-0.0583970510736157,0.1414862505957374,-174.00003331042183,100223.42497679744
