entry_time,exit_time,hold_minutes,ticker,direction,position_size_usd,weight_pct,influence_score,gross_return_pct,net_return_pct,transaction_cost_usd,pnl_usd,capital_after,relevance_score,signal_sense,signal_reason,tweet_text
2024-11-08 15:09:30,2024-11-08 16:25:41,76.2,DIA,LONG,99741.31,100.0,0.005,-0.09869,-0.25869,160.0,-258.69,99741.31,0.3,MARGINAL,sentiment_analysis,"There are fake, untrue, and probably illegal rumors and/or statements made by, perhaps, market manipulators or short sellers, that I am interested in selling shares of Truth. THOSE RUMORS OR STATEMENTS ARE FALSE. I HAVE NO INTENTION OF SELLING! I hereby request that the people who have set off these fake rumors or statements, and who may have done so in the past, be immediately investigated by the appropriate authorities. Truth is an important part of our historic win, and I deeply believe in it. Thank you for your attention to this matter. MAKE AMERICA GREAT AGAIN!"
2024-11-08 16:25:41,2024-11-18 10:31:33,14045.9,DIA,LONG,49484.9,50.0,0.005,-1.46701,-1.54701,39.8965,-771.51,98969.81,0.3,MARGINAL,sentiment_analysis,"There are fake, untrue, and probably illegal rumors and/or statements made by, perhaps, market manipulators or short sellers, that I am interested in selling shares of Truth. THOSE RUMORS OR STATEMENTS ARE FALSE. I HAVE NO INTENTION OF SELLING! I hereby request that the people who have set off these fake rumors or statements, and who may have done so in the past, be immediately investigated by the appropriate authorities. Truth is an important part of our historic win, and I deeply believe in it. Thank you for your attention to this matter. MAKE AMERICA GREAT AGAIN!"
2024-11-11 10:31:36,2024-11-26 10:31:25,21599.8,EWW,LONG,49492.8,50.0,0.005,-4.67253,-4.75253,40.558,-2409.41,98985.59,0.2,MARGINAL,sentiment_analysis,"I am pleased to announce that the Former ICE Director, and stalwart on Border Control, Tom Homan, will be joining the Trump Administration, in charge of our Nation???s Borders (???The Border Czar???), including, but not limited to, the Southern Border, the Northern Border, all Maritime, and Aviation Security. I???ve known Tom for a long time, and there is nobody better at policing and controlling our Borders. Likewise, Tom Homan will be in charge of all Deportation of Illegal Aliens back to their Country of Origin. Congratulations to Tom. I have no doubt he will do a fantastic, and long awaited for, job."
2024-11-18 10:31:27,2024-11-25 10:31:22,10079.9,SPY,LONG,49941.76,50.0,0.0006667,1.92645,1.84645,39.5879,913.71,99883.52,0.2,MARGINAL,sentiment_analysis,"Nicole Reinoso has my Complete and Total Endorsement for Doral City Council (Seat 3). Working with Doral???s wonderful Mayor, Christi Fraga, Nicole will help Grow the Economy, Create GREAT Jobs, and Deliver the American Dream. Doral Residents, vote for Nicole Reinoso - She will not let you down!::"
2024-11-18 10:31:33,2024-11-25 16:29:30,10438.0,DIA,LONG,50740.74,50.0,0.0007778,3.27963,3.19963,39.9534,1597.95,101481.47,0.2,MARGINAL,sentiment_analysis,"Nicole Reinoso has my Complete and Total Endorsement for Doral City Council (Seat 3). Working with Doral???s wonderful Mayor, Christi Fraga, Nicole will help Grow the Economy, Create GREAT Jobs, and Deliver the American Dream. Doral Residents, vote for Nicole Reinoso - She will not let you down!::"
2024-11-25 10:31:22,2024-11-26 14:26:04,1674.7,SPY,LONG,12358.91,12.5,0.005,0.07513,0.05513,2.4716,6.81,98871.26,0.2,MARGINAL,sentiment_analysis,"I am hearing that America First Patriot Randy Fine is considering launching his Campaign for Congress in Florida''s 6th Congressional District!??A Harvard Educated, Successful Businessman, and Highly Respected State Legislator, Randy has been an incredible Voice for MAGA, and the Great People of Florida. In Congress, Randy will be an INCREDIBLE Fighter who will work tirelessly with me to Stop Inflation, Grow our Economy, Secure the Border, Champion our Military/Vets, Restore American Energy DOMINANCE, Protect our always under siege Second Amendment, and Restore PEACE THROUGH STRENGTH.??Should he decide to enter this Race, Randy Fine has my Complete and Total Endorsement. RUN, RANDY, RUN!<"
2024-11-25 10:31:22,2024-11-26 14:26:05,1674.7,TLT,LONG,12358.26,12.5,0.005,-0.0217,-0.0417,2.4718,-5.15,98866.11,0.2,MARGINAL,sentiment_analysis,"I am hearing that America First Patriot Randy Fine is considering launching his Campaign for Congress in Florida''s 6th Congressional District!??A Harvard Educated, Successful Businessman, and Highly Respected State Legislator, Randy has been an incredible Voice for MAGA, and the Great People of Florida. In Congress, Randy will be an INCREDIBLE Fighter who will work tirelessly with me to Stop Inflation, Grow our Economy, Secure the Border, Champion our Military/Vets, Restore American Energy DOMINANCE, Protect our always under siege Second Amendment, and Restore PEACE THROUGH STRENGTH.??Should he decide to enter this Race, Randy Fine has my Complete and Total Endorsement. RUN, RANDY, RUN!<"
2024-11-25 10:31:29,2024-11-25 16:40:40,369.2,USO,LONG,12674.38,12.5,0.005,-0.66161,-0.68161,2.537,-86.46,101395.01,0.3,MARGINAL,sentiment_analysis,"I am hearing that America First Patriot Randy Fine is considering launching his Campaign for Congress in Florida''s 6th Congressional District!??A Harvard Educated, Successful Businessman, and Highly Respected State Legislator, Randy has been an incredible Voice for MAGA, and the Great People of Florida. In Congress, Randy will be an INCREDIBLE Fighter who will work tirelessly with me to Stop Inflation, Grow our Economy, Secure the Border, Champion our Military/Vets, Restore American Energy DOMINANCE, Protect our always under siege Second Amendment, and Restore PEACE THROUGH STRENGTH.??Should he decide to enter this Race, Randy Fine has my Complete and Total Endorsement. RUN, RANDY, RUN!<"
2024-11-25 10:32:05,2024-11-26 14:26:38,1674.5,IEF,LONG,12355.5,12.5,0.005,-0.15883,-0.17883,2.4717,-22.1,98844.01,0.2,MARGINAL,sentiment_analysis,"I am hearing that America First Patriot Randy Fine is considering launching his Campaign for Congress in Florida''s 6th Congressional District!??A Harvard Educated, Successful Businessman, and Highly Respected State Legislator, Randy has been an incredible Voice for MAGA, and the Great People of Florida. In Congress, Randy will be an INCREDIBLE Fighter who will work tirelessly with me to Stop Inflation, Grow our Economy, Secure the Border, Champion our Military/Vets, Restore American Energy DOMINANCE, Protect our always under siege Second Amendment, and Restore PEACE THROUGH STRENGTH.??Should he decide to enter this Race, Randy Fine has my Complete and Total Endorsement. RUN, RANDY, RUN!<"
2024-11-25 16:29:30,2024-12-02 10:31:26,9721.9,DIA,LONG,16487.07,16.667,0.005,0.03347,0.00681,4.3965,1.12,98922.43,0.4,GOOD,sentiment_analysis,"Jimmy Patronis, Chief Financial Officer for the Great State of Florida, has done a tremendous job as CFO, where he also serves as the State???s Fire Marshall, and as an important member of the Florida Cabinet. I hear that Jimmy is now considering launching a Campaign for Congress in Florida''s 1st Congressional District!??A fourth generation Floridian from the beautiful Panhandle, and owner of an iconic seafood restaurant, Jimmy has been a wonderful friend to me, and to MAGA. As your next Congressman, Jimmy would work tirelessly alongside of me to Grow our Economy, Secure our Border, Stop Migrant Crime, Strengthen our Incredible Military/Vets, Restore American Energy DOMINANCE, and Defend our alway"
